ID,smiles
172,CC1=C(C2=CC=CC=C2N1C)C(CN3CCN(CC3)CC4=CC5=C(C=C4)OCO5)O
173,CC1=CC(=CC=C1)S(=O)(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)/N=C/C5=CC=CO5)N
174,CC1=NC2=C(C(=N1)NCCC3=CN=CN3)OC4=CC=CC=C42.Cl
175,CCCCNC(=O)C1=CC2=C(N=C3C(=CC=CN3C2=O)C)N(C1=N)CC4=CC=CC=C4
176,CN1CCN(CC1)C2=C(N=C(O2)COC3=CC=C(C=C3)C4=CC=CC=C4)C#N
177,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCC4=CC5=C(C=C4)OCO5
178,CC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)CN3CCCC4=CC=CC=C43
179,CCN1CCN(CC1)C2=C(N=C(O2)COC3=CC=C(C=C3)C4=CC=CC=C4)C#N
180,C1=CSC(=C1)C(=O)NC2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)Br
181,C1CC2=C(C1)N(C3=C(C2=N)CCC3)CC4=CC=C(C=C4)Cl.Cl
182,C1CCCN(CC1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=N4
183,CC1=C(C2=NC(=CC(=O)N2N1)C(C)(C)C)C3=CC=CC=C3
184,C1CCCC(CC1)N2C(=C(C(=O)NC2=O)C=NC3CCN(CC3)CC4=CC=CC=C4)O
185,C1CN(CCN1C/C=C/C2=CC=CC=C2)CC3=CC(=O)OC4=C3C=C(C=C4)O
186,C1=CC=C(C=C1)C2=NC3=C(C(=N2)NCC4=CN=CC=C4)OC5=CC=CC=C53.Cl
187,CC(C)CCNC1=C(C2=C(CN(CC2)C)C(=N1)N3CCCC3)C#N
188,CC1=C2C(=NC(=N1)N3CCN(CC3)CC4=CC=CC=C4)CC(CC2=O)C5=CC(=C(C=C5)OC)OC
189,C1=CC=C2C(=C1)C(C(O2)(C(=O)C3=C(C=C(C=C3)Cl)Cl)N4C=NC=N4)O
190,CC1=C(C=C(C=C1)OCC(=O)N2CCC3=CC(=C(C=C3C2)OC)OC)C
191,CC1=CC=CC=C1C2C3=C(CC(CC3=O)C4=C(C=C(C=C4)OC)OC)NC5=NC=NN25
192,CN1C2=CC=CC=C2N=C1C3=C(N(C4=NC5=CC=CC=C5N=C34)C6CCCC6)N
193,CN1C(=NN=N1)SCCNCC2=CC=CC3=CC=CC=C32.Cl
194,CC1=CC2=C(C(C(=C(O2)N)C#N)C3=CN=CC=C3)C(=O)N1CC4=CC5=C(C=C4)OCO5
195,COCCN1C(=NC2=C(C1=O)C(=O)C3=CC=CC=C3S2)C4CCCCC4
196,CCN1C2=CC=CC=C2N=C1C3=CC=C(C=C3)N(C)C
197,C1CCC2=C(CC1)SC3=C2C(=O)N(C(=O)N3CCN4CCCC4)CC5=CC=CO5
198,CC1=CC2=C(C=C1O)C(=CC(=O)O2)CN3CCN(CC3)C/C=C/C4=CC=CC=C4
199,CC1CC2=NC(=NC(=C2C(=O)C1)C)N3CCN(CC3)CC4=CC=CC=C4
200,C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=NC(=CS3)C4=CC=CS4
201,CC1=CC(=C(C=C1)C)S(=O)(=O)N2CCN(CC2)CC(=O)NC(=O)NCC3=CC=CC=C3
202,CCN1C2=C(C=C(C=C2)NC(=O)CC3=CC=C(S3)S(=O)(=O)N4CCOCC4)C5=CC=CC=C51
203,CC(C)OC(=O)CCCCCN1C(=O)CSC1=S
204,C1=CC=C(C=C1)C2=CC=C(C=C2)N3C=CN=C3
205,CCC(C)N1C(=O)C2=CC=CC=C2N=C1SCC(=O)NC(=O)NC3=CC4=C(C=C3)OCCO4
206,CC1(CC(=CC(=[N+]2CCCC2)C1)N3CCN(CC3)C4=CC=CC=C4)C.[I-]
207,CN1CCC(CC1)N(C)C(=O)C2=CC=CC=C2NC3=CC=C(C=C3)SC(F)F
208,C1=CC(=CN=C1)COC(=O)NC2=CC(=C(C=C2)Cl)Cl
209,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)C2=NN=C(O2)SCCCC(=O)C3=CC=C(C=C3)F
210,CC1=CC(=CC=C1)N2C3=CC=CC=C3N=C2SCC4=CC(=O)N5C=CSC5=N4
211,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(C2=CN=CC=C2)N3CCN(CC3)CCO
212,CC1=CC=C(C=C1)NC2=CC(=NN2C3=NC(=CC(=O)N3)C)C
213,CC\1(C2=CC=CC=C2N(/C1=C\P(=O)(N(C)C)N(C)C)C)C
214,CC1=CC=C(C=C1)N2C(=NN=N2)SCC(=O)C3=C(N(C(=C3)C)CC4CCCO4)C
215,C1=CC=C2C(=C1)C=C(O2)C(=O)CSC3=CC=CC=[N+]3[O-]
216,CCCN1C2=CC=CC=C2N=C1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N4CCCC4
217,CN1C(=O)C(=C(N(C1=O)CC2=CC=CC=C2)N)C(=O)CN(C)CC3=C(C=C(C=C3)OC)OC
