,ID,smiles,moleculas
93,93,CCCCN1C2=CC=CC=C2N(C1=N)CC(=O)C(C)(C)C.Br,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D580>
94,94,CC1=CC(=C(C=C1CN2C=CN=C2)C)CN3C=CN=C3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D5E0>
95,95,CN1CCN(CC1)CC(=O)C23CC4CC(C2)CC(C4)C3.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D640>
96,96,CCN1CCC2=C(C1)C(=NC(=C2C#N)NCC3=CC=CC=C3)N(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D6A0>
97,97,CN1CCC2=C(C1)C(=NC(=C2C#N)N3CCCCC3)NCC4=CC=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D700>
98,98,C1=CC2=C(C=CN=C2C(=C1)O)CO,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D760>
99,99,COC(=O)C1=C(C2=CC=CC=C2N1)NC(=O)CN3CCCC4=CC=CC=C43,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D7C0>
100,100,CC1=NN(C(=O)C2=CC=CC=C12)CC(=O)N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D820>
101,101,CC1(CC2=C(CO1)C(=NC(=C2C#N)SCCOC3=CC=CC=C3)N4CCOCC4)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D880>
102,102,CCN1C2=CC=CC=C2N(C1=N)CC(=O)C34CC5CC(C3)CC(C5)C4.Br,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D8E0>
103,103,CC1=CC2=C(C=C1)NC(=C2NC(=O)CN3CCCC4=CC=CC=C43)C(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D940>
104,104,C1COCCN1CC(C2=CC=CC=C2)C(=O)C3=CC=C(C=C3)F.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D9A0>
105,105,CN(CC1=CC=CC=C1)CC2=CNC3=CC=CC=C32,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DA00>
106,106,C1CCN(CC1)CCN2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)NCC5=CC=CO5)N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DA60>
107,107,COC1=CC=CC=C1C(=O)NC(=NC2=NC3=CC=CC=C3O2)NC(=O)C4=CC=CC=C4OC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DAC0>
108,108,C1=CC=C2C(=C1)C3=C(C4=C(C=CC=N4)C=C3)NS2(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DB20>
109,109,CCOC1=C(C=C(C=C1)S(=O)(=O)NC(C)(C)C)C2=NC3=C(C(=O)N2)N(N=C3C(C)(C)C)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DB80>
110,110,CCCC1=C(C(=N)C2=CC=CC=C2N1C)CC.I,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DBE0>
111,111,CCCCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.Br,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DC40>
112,112,CC1=CC2=C(C=C1)N=C(O2)NC3=NC(=CC(=O)N3)COC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DCA0>
113,113,CCCC1=CC(=C(C=C1OC)O)C2=NC(=NC=C2C3=CC4=C(C=C3)OCCCO4)N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DD00>
114,114,CN1CCN(CC1)/C=N/C2=C(C3=C(S2)CCCCC3)C#N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DD60>
115,115,CC1=CC(=NC(=N1)C2=CC=CC=C2O)NC3=CC=CC(=C3)C(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DDC0>
116,116,CCCOC1=CC=CC(=C1)CN2CCCCC2C3=CN=CC=C3.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DE20>
117,117,CCC(C(F)(F)F)(C(F)(F)F)NC(=O)NC1=NN=C(S1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DE80>
118,118,CC1=CC(=NC(=N1)NCC2=CC=CC=C2)N3CCN(CC3)C4=CC=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DEE0>
119,119,CC1=CC(=NC(=N1)C2=CC=CC=C2O)NC3=CC(=CC=C3)F,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DF40>
120,120,CC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79DFA0>
121,121,CC(C)CCCN(CC1=CC=CO1)C2=NC(=NC(=N2)N3CCOCC3)N4CCOCC4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E040>
122,122,C1=CSC(=C1)C2=C(C(=NC(=C2C#N)SCC3=CC=NC=C3)N)C#N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E0A0>
123,123,CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC=C(C=C3)N4CCOCC4.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E100>
124,124,C=CCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC4=CC5=C(C=C4)OCO5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E160>
125,125,CC1=CC=C(C=C1)OCC(CN2C3=CC=CC=C3N(C2=N)CCN4CCCCC4)O.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E1C0>
126,126,CN(C)CCCOC(=O)C1=C(C=C(C=C1)Cl)Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E220>
127,127,CCC(=O)NC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E280>
128,128,CN1C2=CC=CC=C2N=C1NC(=O)C3=CC=CC=C3NC(=O)C4=CC=CO4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E2E0>
129,129,CC1CC(NC2=C(C=CC=C12)C)C.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E340>
130,130,CCN(CC)CCN1C(=O)CN2C(=C(C3=C2C1=CC=C3)C)C.C(C(C(=O)O)O)(C(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E3A0>
131,131,CC1CC(CN(C1)C2=NC(=NC3=CC=CC=C32)C4=C(C(=CC=C4)OC)O)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E400>
132,132,CCOC(=O)C1=C(SC=C1C2=CC=CS2)NC(=O)C3=CC=NC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E460>
133,133,CSC1=C(C(=NC(=N1)N)SCC(=O)C23CC4CC(C2)CC(C4)C3)C#N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E4C0>
134,134,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CCN(C)C.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E520>
135,135,CCOC(=O)C1=CN=C(N=C1NC2=CC=C(C=C2)N(C)C)N3C(=CC(=N3)C)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E580>
136,136,C1CCC(CC1)OC(=O)C(C#N)C2=NC3=CC=CC=C3N=C2N4CCCCC4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E5E0>
137,137,CC(C)OCCCN1C2=C(C=C(C1=N)C(=S)N)C(=O)N3C=CC=CC3=N2,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E640>
138,138,CCOC(=O)C1=CN=C(N=C1NCC2=CC3=C(C=C2)OCO3)N4C(=CC(=N4)C)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E6A0>
139,139,CCOC(=O)C1=CN=C(N=C1NC2CCCCC2)N3C(=CC(=N3)C)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E700>
140,140,CC1=CC=C(C=C1)C2CC(N3C(=NC(=N3)N)N2)C4=CC=C(C=C4)OC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E760>
141,141,CCCCCCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E7C0>
142,142,CC(C)CN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)NCC4=CC=CS4)N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E820>
